asset_id,name,source_url,type,size,frames,style_tags,mood_tags,story_tags,scene_use,usage_case,notes
"PX-UNI-001","家庭客厅基础底图","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","现代,室内,客厅,topdown","日常,安静,微压抑","亲情,家庭期待,父母关系,home","both","亲情场景中，父母坐在客厅两侧，中间留空给主角站立或沉默","覆盖 living room；完整商用需付费并署名；免费版可先试"
"PX-UNI-002","普通住宅客厅厨房 CC0","https://btl-games.itch.io/topdown","background","32x32 tile","1","现代,家,客厅,厨房,CC0","温暖,普通,日常","亲情,家庭,责任与愧疚,home","both","亲情场景里用同一套住宅切出厨房晚饭和客厅谈话两个状态","CC0；9 room styles；适合作为低风险主底图"
"PX-UNI-003","家庭餐桌厨房冲突","https://reakain.itch.io/kitchen-assets","background","16/32 tile","1","厨房,餐桌,冰箱,炉灶","拥挤,生活感,压抑","亲情,家庭期待,晚饭,厨房","both","父母谈期待时，桌面只放三副碗筷和一盏冰箱光","可商用可改；禁再分发/AI/NFT；credit appreciated"
"PX-UNI-004","童年卧室与奖状墙","https://graduation-cat.itch.io/house-interior-tileset-32x32","background","32x32 tile","1","卧室,床,书桌,玩具,奖杯","怀旧,私密,失落","亲情,童年,身份认同,home","both","主角回到童年卧室，奖杯和旧书桌成为家庭期待的视觉锚点","免费版/付费版分别授权；禁再分发；credit appreciated"
"PX-UNI-005","浴室镜子与洗漱台","https://graduation-cat.itch.io/house-interior-tileset-32x32","background","32x32 tile","1","浴室,镜子,洗手台","自省,疲惫,安静","亲情,自我成长,身份认同,mirror","both","主角在镜子前短暂停住，用于身份认同或和父母争执后的回落镜头","含 bathroom tiles；免费版可用但需按包内许可确认"
"PX-UNI-006","家庭医院病房","https://jackburton84.itch.io/pixel-hospital-tileset-modern-medical-pixel-art-32x32","background","32x32 tile","1","医院,病床,医疗,topdown","紧张,照护,愧疚","亲情,责任与愧疚,父母关系,hospital","special","亲情责任线中，病床和陪护椅表现照护压力，不直接写说明文字","免费商用；禁原样再分发；适合亲情/事业医疗双用"
"PX-UNI-007","小镇家门口 CC0","https://kenney.nl/assets/tiny-town","background","16x16 tile","1","小镇,家门口,街道,CC0","轻,日常,过渡","亲情,离家,城市机会,town","daily","离家或回家时用小镇路口做过场，角色从门口走到画面边缘","CC0；130 files；适合抽象化地图和转场"
"PX-UNI-008","便利店家庭采购","https://reakain.itch.io/gb-studio-7-11-tileset","background","GB Studio tile","1","便利店,货架,冷柜,城市日常","普通,微冷,生活感","亲情,友情,家庭,零售","both","家庭争执后主角在便利店买晚饭，冷柜光替代情绪说明","可商用可改；禁再分发/AI/NFT；适合生活补景"
"PX-UNI-009","家中电话与电脑","https://graduation-cat.itch.io/house-interior-tileset-32x32","prop","32x32 tile","1","电话,电脑,书桌,家","等待,沟通,旧物","亲情,父母关系,学业,沟通","daily","亲情场景用桌上电话/旧电脑表现未接电话、查分或远程沟通","含 laptop/phone/old PC；授权按 Graduation Cat 包"
"PX-UNI-010","沙发电视客厅补件","https://apple-dog.itch.io/modern-tileset-by-appledog","background","16/32/48 tile","1","客厅,沙发,电视,现代","舒适,压抑,日常","亲情,友情,同居,home","both","两个人坐在同一张沙发两端，电视亮着但没人看","可商用需署名；作者评论确认；上线前建议截图存档许可"
"PX-UNI-011","家庭聚餐食物 CC0","https://kenney.nl/assets/pixel-platformer-food-expansion","prop","various","1","食物,餐盘,CC0","日常,温暖,尴尬","亲情,友情,聚餐,餐桌","daily","亲情/友情聚餐中用一盘没动的食物表达冷场","CC0；110 files；需要重绘/拼成 top-down 餐盘"
"PX-UNI-012","旧奖杯与纪念物","https://graduation-cat.itch.io/house-interior-tileset-32x32","prop","32x32 tile","1","奖杯,奖牌,书架,旧物","怀旧,压力,遗憾","亲情,家庭期待,长期遗憾,童年","both","父母期待线里把奖杯放在背景角落，作为无声压力源","付费版含 trophy/medals；确认使用版本后再入库"
"PX-UNI-013","雨夜城市分手街景","https://gandalfhardcore.itch.io/free-pixel-art-sidescroller-asset-pack-32x32-city","background","32x32 tile/parallax","1","城市,街道,侧视,雨夜","孤独,冷,分离","爱情,分手,异地,城市","special","分手场景用街灯和远处建筑，角色只占画面下方小块","可商用可改；禁再分发/AI/NFT；侧视需和 topdown 分层区分"
"PX-UNI-014","异地车站站台","https://reakain.itch.io/gb-studio-trains","background","GB Studio tile","1","火车,站台,通勤,城市","离别,等待,移动","爱情,异地,复合,事业,通勤","special","异地线中两人隔着站台或车门，门动画可做离别 loop","可商用可改；禁再分发/AI/NFT；有 train door 语义"
"PX-UNI-015","咖啡馆谈话室内","https://ferd-dev.itch.io/plastic-interiors","background","16x16 tile","1","公寓,办公室,咖啡馆,室内","轻,现代,谈话","爱情,友情,复合,选择","both","复合谈话用小桌和两杯饮料，背景保持干净让对话框接管情绪","可商用需署名；禁再分发；16x16 vibrant 风格需调色"
"PX-UNI-016","约会餐厅与面包店","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","餐厅,面包店,花店,室内","暧昧,温暖,选择","爱情,亲密关系选择,约会,复合","both","亲密关系选择前，在餐厅两人面对面坐着但椅距偏远","Modern Interiors 覆盖 bakery/canteen/flower shop；完整商用需付费署名"
"PX-UNI-017","同居公寓卧室","https://apple-dog.itch.io/modern-tileset-by-appledog","background","16/32/48 tile","1","卧室,公寓,床,生活物","亲密,窒息,日常","爱情,同居,分手,home","both","同居/分手线中用一张床和两个不同方向的行李表现关系变化","可商用需署名；适合家居但需统一色板"
