category_id,category_label,asset_id,name,source_url,type,size,frames,style_tags,mood_tags,story_tags,scene_use,usage_case,notes,license_tier,ui_ready,layout_role,season_kit,pairs_with,pack_id,supabase_table,visual_anchor_template,default_layer_stack,parallax_suggest,animation_keys,domain_fit,year_phase_fit,combo_id,reject_if_mood
universal,00_六域通用,PX-UNI-001,家庭客厅基础底图,https://limezu.itch.io/moderninteriors,background,16/32/48 tile,1,"现代,室内,客厅,topdown","日常,安静,微压抑","亲情,家庭期待,父母关系,home",both,亲情场景中，父母坐在客厅两侧，中间留空给主角站立或沉默,覆盖 living room；完整商用需付费并署名；免费版可先试,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，亲情场景中，父母坐在客厅两侧，中间留空给主角站立或沉默,PX-UNI-001>character,0.12,idle,"亲情,家庭期待,父母关系","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-002,普通住宅客厅厨房 CC0,https://btl-games.itch.io/topdown,background,32x32 tile,1,"现代,家,客厅,厨房,CC0","温暖,普通,日常","亲情,家庭,责任与愧疚,home",both,亲情场景里用同一套住宅切出厨房晚饭和客厅谈话两个状态,CC0；9 room styles；适合作为低风险主底图,cc0_ready,prototype_ready,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，亲情场景里用同一套住宅切出厨房晚饭和客厅谈话两个状态,PX-UNI-002>character,0.12,idle,"亲情,家庭,责任与愧疚","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-003,家庭餐桌厨房冲突,https://reakain.itch.io/kitchen-assets,background,16/32 tile,1,"厨房,餐桌,冰箱,炉灶","拥挤,生活感,压抑","亲情,家庭期待,晚饭,厨房",both,父母谈期待时，桌面只放三副碗筷和一盏冰箱光,可商用可改；禁再分发/AI/NFT；credit appreciated,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，父母谈期待时，桌面只放三副碗筷和一盏冰箱光,PX-UNI-003>character,0.12,idle,"亲情,家庭期待,晚饭","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-004,童年卧室与奖状墙,https://graduation-cat.itch.io/house-interior-tileset-32x32,background,32x32 tile,1,"卧室,床,书桌,玩具,奖杯","怀旧,私密,失落","亲情,童年,身份认同,home",both,主角回到童年卧室，奖杯和旧书桌成为家庭期待的视觉锚点,免费版/付费版分别授权；禁再分发；credit appreciated,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，主角回到童年卧室，奖杯和旧书桌成为家庭期待的视觉锚点,PX-UNI-004>character,0.12,idle,"亲情,童年,身份认同","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-005,浴室镜子与洗漱台,https://graduation-cat.itch.io/house-interior-tileset-32x32,background,32x32 tile,1,"浴室,镜子,洗手台","自省,疲惫,安静","亲情,自我成长,身份认同,mirror",both,主角在镜子前短暂停住，用于身份认同或和父母争执后的回落镜头,含 bathroom tiles；免费版可用但需按包内许可确认,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，主角在镜子前短暂停住，用于身份认同或和父母争执后的回落镜头,PX-UNI-005>character,0.12,idle,"亲情,自我成长,身份认同","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-006,家庭医院病房,https://jackburton84.itch.io/pixel-hospital-tileset-modern-medical-pixel-art-32x32,background,32x32 tile,1,"医院,病床,医疗,topdown","紧张,照护,愧疚","亲情,责任与愧疚,父母关系,hospital",special,亲情责任线中，病床和陪护椅表现照护压力，不直接写说明文字,免费商用；禁原样再分发；适合亲情/事业医疗双用,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，亲情责任线中，病床和陪护椅表现照护压力，不直接写说明文字,PX-UNI-006>character,0.12,idle,"亲情,责任与愧疚,父母关系","pivotal,special",universal_v1,
universal,00_六域通用,PX-UNI-007,小镇家门口 CC0,https://kenney.nl/assets/tiny-town,background,16x16 tile,1,"小镇,家门口,街道,CC0","轻,日常,过渡","亲情,离家,城市机会,town",daily,离家或回家时用小镇路口做过场，角色从门口走到画面边缘,CC0；130 files；适合抽象化地图和转场,cc0_ready,prototype_ready,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，离家或回家时用小镇路口做过场，角色从门口走到画面边缘,PX-UNI-007>character,0.12,idle,"亲情,离家,城市机会","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-008,便利店家庭采购,https://reakain.itch.io/gb-studio-7-11-tileset,background,GB Studio tile,1,"便利店,货架,冷柜,城市日常","普通,微冷,生活感","亲情,友情,家庭,零售",both,家庭争执后主角在便利店买晚饭，冷柜光替代情绪说明,可商用可改；禁再分发/AI/NFT；适合生活补景,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，家庭争执后主角在便利店买晚饭，冷柜光替代情绪说明,PX-UNI-008>character,0.12,idle,"亲情,友情,家庭","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-009,家中电话与电脑,https://graduation-cat.itch.io/house-interior-tileset-32x32,prop,32x32 tile,1,"电话,电脑,书桌,家","等待,沟通,旧物","亲情,父母关系,学业,沟通",daily,亲情场景用桌上电话/旧电脑表现未接电话、查分或远程沟通,含 laptop/phone/old PC；授权按 Graduation Cat 包,review_required,candidate_only,prop,,,universal-life-scenes-v1,visual_assets,{character}在{location}，亲情场景用桌上电话/旧电脑表现未接电话、查分或远程沟通,PX-UNI-009>character,0.12,idle,"亲情,父母关系,学业","quiet,daily",universal_v1,
universal,00_六域通用,PX-UNI-010,沙发电视客厅补件,https://apple-dog.itch.io/modern-tileset-by-appledog,background,16/32/48 tile,1,"客厅,沙发,电视,现代","舒适,压抑,日常","亲情,友情,同居,home",both,两个人坐在同一张沙发两端，电视亮着但没人看,可商用需署名；作者评论确认；上线前建议截图存档许可,review_required,candidate_only,background,,,universal-life-scenes-v1,visual_assets,{character}在{location}，两个人坐在同一张沙发两端，电视亮着但没人看,PX-UNI-010>character,0.12,idle,"亲情,友情,同居","quiet,daily",universal_v1,
