asset_id,name,source_url,type,size,frames,style_tags,mood_tags,story_tags,scene_use,usage_case,notes
"PX-FDX-001","教室全景 48px CC0","https://opengameart.org/content/cool-school-tileset","background","48x48 tile","1","校园,教室,48px,topdown","灰冷,安静,雨前","复读,年1,教室,最后一排","special","年1雨天最后一排靠窗，阿岚坐在空桌旁，书包放在桌上","CC0；适合主背景；可另叠 rain_overlay"
"PX-FDX-002","校内教室食堂扩展","https://oceansdream.itch.io/nostalgia-school-time","background","RPG Maker school tiles","1","校园,教室,食堂,GameBoy","怀旧,灰调,孤立","复读,年1,年3,学校","both","年3食堂最里角，双份餐盘只有一个人坐","royalty-free；商用条款上线前再核"
"PX-FDX-003","现代室内教室讲堂","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","现代,室内,教室,topdown","灰冷,压抑","复读,年1,教室,最后一排","special","年1雨天教室最后一排，窗边和课桌组成窄画幅","免费版可先试；完整商用建议付费并署名"
"PX-FDX-004","雨层透明覆盖 CC0","https://opengameart.org/content/rain-1","fx","overlay 609KB","1","雨,透明覆盖,fx","阴冷,潮湿","复读,年1,年6,雨","both","年1窗雨和年6雨棚前景加半透明斜雨层","CC0；非严格像素格，可压色/降采样"
"PX-FDX-005","阿岚角色候选 LimeZu","https://limezu.itch.io/moderninteriors","character","16/32/48 sprite","4+","现代,学生,角色,idle,run,read","克制,退缩","阿岚,shared,读书,写字","both","年1阿岚坐最后一排翻书，年7在邮局小窗写字 idle","完整角色生成器付费；免费版有少量角色"
"PX-FDX-006","通用角色 CC0","https://kenney.nl/assets/roguelike-characters","character","various sprites","1","角色,CC0,小人","中性,低存在感","阿岚,同桌,老师,老太太","both","年3食堂里把阿岚缩小放在角落，同桌/老师作低细节 NPC","CC0；需重绘成现代学生服"
"PX-FDX-007","课桌书本黑板 CC0","https://opengameart.org/content/cool-school-tileset","prop","48x48 tile","1","课桌,书本,黑板,窗口","安静,压迫","复读,年1,书包,课桌","both","年1最后一排空桌上放书包，黑板/窗户作背景锚点","CC0；可切 props"
"PX-FDX-008","书包随身物件候选","https://limezu.itch.io/moderninteriors","prop","16/32/48 tile","1","书包,学生,杂物","局促,日常","复读,年1,书包","special","年1书包放在最后一排空桌，角色坐旁边不回头","需在包内确认具体 sprite"
"PX-FDX-009","宿舍卧室 CC0","https://btl-games.itch.io/topdown","background","32x32 tile","1","现代,卧室,室内,CC0","灰冷,夜晚","复读,年2,年5,宿舍","special","年2查分夜，一张桌子和床占窄画幅","CC0；9 room styles，可改色"
"PX-FDX-010","现代卧室桌灯","https://apple-dog.itch.io/modern-tileset-by-appledog","background","16/32/48 tile","1","卧室,家具,台灯,桌子","安静,夜","复读,年2,台灯,年5","both","年2台灯照着撕碎准考证；年5床和窗帘","商用需署名；作者评论确认"
"PX-FDX-011","准考证碎片自切候选","https://opengameart.org/content/cool-school-tileset","prop","48x48 tile","1","纸张,书本,碎片,手工切片","麻木,破裂","复读,年2,准考证","daily","年2把纸张 sprite 切成碎片，做 2-4 帧撕纸 loop","从 CC0 school paper/book sprite 派生"
"PX-FDX-012","台灯书桌候选","https://limezu.itch.io/moderninteriors","prop","16/32/48 tile","1","台灯,桌子,夜间","压抑,单光源","复读,年2,查分夜","special","年2台灯在画面左上只照亮桌面和准考证碎片","需从完整包或免费包确认 lamp sprite"
"PX-FDX-013","食堂背景学校包","https://oceansdream.itch.io/nostalgia-school-time","background","RPG Maker tiles","1","学校,食堂,桌椅","空,怀旧,灰绿","复读,年3,食堂,空椅","special","年3食堂最里角，双份餐盘只有一个人坐","royalty-free；需确认商用细节"
"PX-FDX-014","现代食堂餐厅","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","现代,食堂,餐厅,topdown","日常,低饱和","复读,年3,食堂","both","年3用 canteen tiles 摆最里角长桌和一张空椅","完整包覆盖 canteen；需署名"
"PX-FDX-015","食物餐盘 CC0","https://kenney.nl/assets/pixel-platformer-food-expansion","prop","various","1","食物,餐盘,CC0","日常,安静","复读,年3,餐盘","daily","年3双份餐盘中一份 untouched，另一份慢吃 loop","CC0；需要拼成 top-down 餐盘"
"PX-FDX-016","空椅桌子 CC0","https://btl-games.itch.io/topdown","prop","32x32 tile","1","椅子,桌子,室内","孤立,留白","复读,年3,空椅","special","年3阿岚对面留一把空椅，桌面放第二份餐盘","CC0；和 Ocean/LimeZu 风格需统一调色"
"PX-FDX-017","讲堂会议厅","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","讲堂,会议,舞台,室内","被看见,略暖","复读,年4,舞台侧幕","special","年4舞台侧幕，五叠稿纸和打反领带，灯从右侧压进来","Modern Interiors 包列出 conference/lecture hall"
"PX-FDX-018","舞台光侧幕候选","https://limezu.itch.io/moderninteriors","background","16/32/48 tile","1","舞台,灯光,侧幕","紧张,暖光","复读,年4,灯亮","special","年4介入前 sequence：上台前侧幕阴影，随后灯亮","需人审确认具体舞台素材；若缺可 AI 补缺"
"PX-FDX-019","麦克风图标 CC0","https://opengameart.org/content/lucid-icon-pack","prop","16/32/64/160","1","麦克风,图标,CC0","被注视,发声","复读,年4,麦","special","年4把 Lucid 麦克风 icon 重绘成舞台立麦","CC0；更偏 UI icon，建议手工像素化为 prop"
"PX-FDX-020","稿纸文件 CC0","https://opengameart.org/content/cool-school-tileset","prop","48x48 tile","1","纸张,书本,文件","紧绷,重复","复读,年4,稿纸","daily","年4五叠稿纸在侧幕地面或桌面，阿岚改稿 loop","CC0；可切纸张并做叠放"
"PX-FDX-021","领带服饰候选","https://limezu.itch.io/moderninteriors","character","16/32/48 sprite","1","服饰,领带,角色","尴尬,硬撑","复读,年4,领带打反","special","年4阿岚领带打反，台下笑声前的微小错误","完整角色生成器付费；可手绘覆盖"
"PX-FDX-022","凌晨卧室 AppleDog","https://apple-dog.itch.io/modern-tileset-by-appledog","background","16/32/48 tile","1","卧室,窗户,床","失眠,低饱和","复读,年5,凌晨4点","special","年5手机 4:03，床和窗帘缝光构成窄画幅","商用需署名"
"PX-FDX-023","凌晨卧室 CC0","https://btl-games.itch.io/topdown","background","32x32 tile","1","卧室,床,桌椅,CC0","夜,空","复读,年5,床,窗帘","both","年5睁眼 loop，角色几乎不动，只让窗帘缝光微亮","CC0；优先可商用"
"PX-FDX-024","手机时间 UI 候选","https://opengameart.org/content/lucid-icon-pack","prop","16/32/64/160","1","手机,图标,CC0","焦虑,静止","复读,年5,手机4:03","special","年5床边手机显示 4:03，作为画面唯一亮点","Lucid 未必有手机图标；入库前检查 icon 列表"
"PX-FDX-025","窗帘窗户候选","https://btl-games.itch.io/topdown","prop","32x32 tile","1","窗帘,窗户,室内","凌晨,缝光","复读,年5,窗帘","daily","年5窗帘缝光 2 帧变化，阿岚睁眼不睡","若素材无窗帘，用 BTL 窗户手改"
"PX-FDX-026","车站列车包","https://reakain.itch.io/gb-studio-trains","background","GB Studio tiles","animated","火车站,长椅,列车,像素","雨,离开,低饱和","复读,年6,出站雨棚,火车","special","年6出站雨棚/站台，行李箱放身侧，对面小孩睡着","商用可用；禁再分发/AI/NFT/hate speech"
"PX-FDX-027","现代地铁高铁站","https://limezu.itch.io/modernexteriors","background","16/32/48 tile","animated","车站,现代,城市,topdown","冷,雨,等待","复读,年6,trainstation","special","年6可用 subway/train station 32x32 场景重排成出站雨棚","付费；全包商用需署名"
"PX-FDX-028","城市雨棚街边","https://gandalfhardcore.itch.io/free-pixel-art-sidescroller-asset-pack-32x32-city","background","32x32 tile","1","城市,街道,建筑,32px","雨,冷,压低","复读,年6,雨棚,城市","special","年6车站外雨棚和远处城市建筑，作为离校后的空背景","商用可用；禁再分发/AI/NFT"
"PX-FDX-029","行李箱箱包候选","https://limezu.itch.io/modernexteriors","prop","16/32/48 tile","1","行李箱,旅行,车站","疲惫,崩塌","复读,年6,行李箱","both","年6阿岚抱行李箱蹲坐，小孩在对面睡","需确认包内 suitcase sprite；无则手绘"
"PX-FDX-030","雨层复用 CC0","https://opengameart.org/content/rain-1","fx","overlay 609KB","1","雨,透明,CC0","潮湿,压迫","复读,年6,雨","both","年6雨棚前景加斜雨，压低饱和度","同 PX-FDX-004 来源，可在布局复用"
"PX-FDX-031","邮局小窗付费候选","https://masalimov-ilnur.itch.io/pixel-office","background","32x32 tile","1","办公室,柜台,窗口,32px","留白,平稳","复读,年7,邮局窗口","special","年7把办公室柜台改成邮局小窗，阿岚在窗口内写字","付费 $5；CC-BY 4.0；适合作候选"
"PX-FDX-032","邮局小镇外观 CC0","https://kenney.nl/assets/tiny-town","background","16x16 tile","1","小镇,建筑,CC0","安静,县城","复读,年7,邮局,小窗","special","年7县城街边邮局外景或最终缩略图，留白大","CC0；需要手工改成邮局标识"
"PX-FDX-033","信封邮政图标候选","https://opengameart.org/content/lucid-icon-pack","prop","16/32/64/160","1","信封,图标,CC0","轻,安静","复读,年7,信封,笔","daily","年7窗口内信封和笔作为 final 物件，可改色降低 UI 感","Lucid 图标包若无信封，需手绘补缺"
